,school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,have_failed,high_absences,student_drinker
0,1,1,18,1,1,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,False,1,0
1,1,1,17,1,1,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,False,0,0
2,1,1,15,1,0,1,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,True,1,1
3,1,1,15,1,1,1,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,False,0,0
4,1,1,16,1,1,1,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,False,0,1
5,1,0,16,1,0,1,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,False,1,1
6,1,0,16,1,0,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,False,0,0
7,1,1,17,1,1,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,False,1,0
8,1,0,15,1,0,0,3,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,False,0,0
9,1,0,15,1,1,1,3,4,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,False,0,0
10,1,1,15,1,1,1,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,False,0,1
11,1,1,15,1,1,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,False,0,0
12,1,0,15,1,0,1,4,4,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,False,0,1
13,1,0,15,1,1,1,4,3,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,False,0,1
14,1,0,15,1,1,0,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,False,0,0
15,1,1,16,1,1,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,False,0,1
16,1,1,16,1,1,1,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,False,1,1
17,1,1,16,1,1,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,False,0,0
18,1,0,17,1,1,1,3,2,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,True,1,1
19,1,0,16,1,0,1,4,3,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,False,0,1
20,1,0,15,1,1,1,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,False,0,0
21,1,0,15,1,1,1,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,False,0,0
22,1,0,16,1,0,1,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,False,0,1
23,1,0,16,1,0,1,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,False,0,1
24,1,1,15,0,1,1,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,False,0,0
